data,values,cod,abbreviation,kurs_rub
1975-03-01,Bolg lion,975,BGN,0.7692
1975-04-01,Bolg lion,975,BGN,0.7692
1975-05-01,Bolg lion,975,BGN,0.7692
1975-06-01,Bolg lion,975,BGN,0.7692
1975-07-01,Bolg lion,975,BGN,0.7692
1975-08-01,Bolg lion,975,BGN,0.7692
1975-09-01,Bolg lion,975,BGN,0.7692
1975-10-01,Bolg lion,975,BGN,0.7692
1975-11-01,Bolg lion,975,BGN,0.7692
1975-12-01,Bolg lion,975,BGN,0.7692
1976-01-01,Bolg lion,975,BGN,0.7692
1976-02-01,Bolg lion,975,BGN,0.7692
1976-03-03,Bolg lion,975,BGN,0.7692
1976-04-01,Bolg lion,975,BGN,0.7692
1976-05-01,Bolg lion,975,BGN,0.7692
1976-06-01,Bolg lion,975,BGN,0.7692
1976-07-01,Bolg lion,975,BGN,0.7692
1976-08-01,Bolg lion,975,BGN,0.7692
1976-09-01,Bolg lion,975,BGN,0.7692
1976-10-04,Bolg lion,975,BGN,0.7692
1976-11-01,Bolg lion,975,BGN,0.7692
1976-12-01,Bolg lion,975,BGN,0.7692
1977-01-01,Bolg lion,975,BGN,0.7692
1977-02-01,Bolg lion,975,BGN,0.7692
1977-03-01,Bolg lion,975,BGN,0.7692
1977-04-01,Bolg lion,975,BGN,0.7692
1977-05-01,Bolg lion,975,BGN,0.7692
1977-06-01,Bolg lion,975,BGN,0.7692
1977-07-01,Bolg lion,975,BGN,0.7692
1977-08-01,Bolg lion,975,BGN,0.7692
1977-09-01,Bolg lion,975,BGN,0.7692
1977-10-01,Bolg lion,975,BGN,0.7692
1977-11-01,Bolg lion,975,BGN,0.7692
1977-12-01,Bolg lion,975,BGN,0.7692
1978-01-01,Bolg lion,975,BGN,0.7692
1978-02-01,Bolg lion,975,BGN,0.7692
1978-03-01,Bolg lion,975,BGN,0.7692
1978-04-01,Bolg lion,975,BGN,0.7692
1978-05-01,Bolg lion,975,BGN,0.7692
1978-06-01,Bolg lion,975,BGN,0.7692
1978-07-01,Bolg lion,975,BGN,0.7692
1978-08-01,Bolg lion,975,BGN,0.7692
1978-09-01,Bolg lion,975,BGN,0.7692
1978-10-01,Bolg lion,975,BGN,0.7692
1978-11-18,Bolg lion,975,BGN,0.7692
1978-12-01,Bolg lion,975,BGN,0.7692
1979-01-01,Bolg lion,975,BGN,0.7692
1979-02-01,Bolg lion,975,BGN,0.7692
1979-03-01,Bolg lion,975,BGN,0.7692
1979-03-15,Bolg lion,975,BGN,0.7692
1979-04-01,Bolg lion,975,BGN,0.7692
1979-05-01,Bolg lion,975,BGN,0.7692
1979-06-01,Bolg lion,975,BGN,0.7692
1979-07-01,Bolg lion,975,BGN,0.7692
1979-08-01,Bolg lion,975,BGN,0.7692
1979-09-01,Bolg lion,975,BGN,0.7692
1979-10-01,Bolg lion,975,BGN,0.7692
1979-11-01,Bolg lion,975,BGN,0.7692
1979-12-03,Bolg lion,975,BGN,0.7692
1980-01-03,Bolg lion,975,BGN,0.7692
1980-02-01,Bolg lion,975,BGN,0.7692
1980-03-01,Bolg lion,975,BGN,0.7692
1980-04-15,Bolg lion,975,BGN,0.7692
1980-05-01,Bolg lion,975,BGN,0.7692
1980-06-01,Bolg lion,975,BGN,0.7692
1980-07-01,Bolg lion,975,BGN,0.7692
1980-07-16,Bolg lion,975,BGN,0.7692
1980-08-01,Bolg lion,975,BGN,0.7692
1980-08-16,Bolg lion,975,BGN,0.7692
1980-09-01,Bolg lion,975,BGN,0.7692
1980-09-16,Bolg lion,975,BGN,0.7692
1980-10-01,Bolg lion,975,BGN,0.7692
1980-10-16,Bolg lion,975,BGN,0.7692
1980-11-01,Bolg lion,975,BGN,0.7692
1980-11-16,Bolg lion,975,BGN,0.7692
